date,index_level,divisor,notes
2017-08-17,1000.0,4.28508,BTC price index (base=1000); pricing source=binance
2017-08-18,958.7615633780466,4.28508,BTC price index (base=1000); pricing source=binance
2017-08-19,966.1383218049604,4.28508,BTC price index (base=1000); pricing source=binance
2017-08-20,953.6088007691806,4.28508,BTC price index (base=1000); pricing source=binance
2017-08-21,937.2053730618798,4.28508,BTC price index (base=1000); pricing source=binance
2017-08-22,942.8062019845604,4.28508,BTC price index (base=1000); pricing source=binance
2017-08-23,960.0777581748766,4.28508,BTC price index (base=1000); pricing source=binance
2017-08-24,1007.2180682741046,4.28508,BTC price index (base=1000); pricing source=binance
2017-08-25,998.9731813641754,4.28508,BTC price index (base=1000); pricing source=binance
2017-08-26,1012.2191417663147,4.28508,BTC price index (base=1000); pricing source=binance
2017-08-27,1005.8178610434345,4.28508,BTC price index (base=1000); pricing source=binance
2017-08-28,1023.7125094513988,4.28508,BTC price index (base=1000); pricing source=binance
2017-08-29,1070.570444425775,4.28508,BTC price index (base=1000); pricing source=binance
2017-08-30,1063.023327452463,4.28508,BTC price index (base=1000); pricing source=binance
2017-08-31,1102.6375236868391,4.28508,BTC price index (base=1000); pricing source=binance
2017-09-01,1128.3126569398937,4.28508,BTC price index (base=1000); pricing source=binance
2017-09-02,1043.6537940948594,4.28508,BTC price index (base=1000); pricing source=binance
2017-09-03,1052.2744032783517,4.28508,BTC price index (base=1000); pricing source=binance
2017-09-04,956.8339447571574,4.28508,BTC price index (base=1000); pricing source=binance
2017-09-05,1018.9938110840404,4.28508,BTC price index (base=1000); pricing source=binance
2017-09-06,1078.1058930054983,4.28508,BTC price index (base=1000); pricing source=binance
2017-09-07,1094.8710409140551,4.28508,BTC price index (base=1000); pricing source=binance
2017-09-08,999.4679212523454,4.28508,BTC price index (base=1000); pricing source=binance
2017-09-09,993.8694260083827,4.28508,BTC price index (base=1000); pricing source=binance
2017-09-10,963.8956565571705,4.28508,BTC price index (base=1000); pricing source=binance
2017-09-11,982.1216873430601,4.28508,BTC price index (base=1000); pricing source=binance
2017-09-12,971.6784750809787,4.28508,BTC price index (base=1000); pricing source=binance
2017-09-13,920.5639101253652,4.28508,BTC price index (base=1000); pricing source=binance
2017-09-14,744.2148104586146,4.28508,BTC price index (base=1000); pricing source=binance
2017-09-15,863.4611255799192,4.28508,BTC price index (base=1000); pricing source=binance
2017-09-16,866.9499752630055,4.28508,BTC price index (base=1000); pricing source=binance
2017-09-17,863.4587919012014,4.28508,BTC price index (base=1000); pricing source=binance
2017-09-18,941.6416963043864,4.28508,BTC price index (base=1000); pricing source=binance
2017-09-19,912.4777133682451,4.28508,BTC price index (base=1000); pricing source=binance
2017-09-20,910.1346999355904,4.28508,BTC price index (base=1000); pricing source=binance
2017-09-21,842.4556834411493,4.28508,BTC price index (base=1000); pricing source=binance
2017-09-22,839.1605290916389,4.28508,BTC price index (base=1000); pricing source=binance
2017-09-23,882.1305553221877,4.28508,BTC price index (base=1000); pricing source=binance
2017-09-24,854.1310780662204,4.28508,BTC price index (base=1000); pricing source=binance
2017-09-25,914.9770832749914,4.28508,BTC price index (base=1000); pricing source=binance
2017-09-26,906.0157569987025,4.28508,BTC price index (base=1000); pricing source=binance
2017-09-27,978.511486366649,4.28508,BTC price index (base=1000); pricing source=binance
