date,price,market_cap,total_volume,source
2017-08-17,4285.08,,3454770.05073206,binance
2017-08-18,4108.37,,5086958.30617151,binance
2017-08-19,4139.98,,1549483.73542151,binance
2017-08-20,4086.29,,1930364.39032646,binance
2017-08-21,4016.0,,2797231.71402728,binance
2017-08-22,4040.0,,3752505.77214051,binance
2017-08-23,4114.01,,4148686.46581968,binance
2017-08-24,4316.01,,3296476.41316476,binance
2017-08-25,4280.68,,2484637.34936327,binance
2017-08-26,4337.44,,977865.7333321,binance
2017-08-27,4310.01,,1521580.06202557,binance
2017-08-28,4386.69,,2591660.52579953,binance
2017-08-29,4587.48,,2682483.73582991,binance
2017-08-30,4555.14,,3683714.68666123,binance
2017-08-31,4724.89,,2579878.72401184,binance
2017-09-01,4834.91,,2665165.55924616,binance
2017-09-02,4472.14,,4257723.944817,binance
2017-09-03,4509.08,,3121052.75230181,binance
2017-09-04,4100.11,,5909947.49008974,binance
2017-09-05,4366.47,,5083453.18675071,binance
2017-09-06,4619.77,,3626346.05544323,binance
2017-09-07,4691.61,,2305795.13638315,binance
2017-09-08,4282.8,,4866527.22639337,binance
2017-09-09,4258.81,,2815383.46568698,binance
2017-09-10,4130.37,,2700371.80819211,binance
2017-09-11,4208.47,,2956842.76250147,binance
2017-09-12,4163.72,,3725190.62328952,binance
2017-09-13,3944.69,,3570365.92571669,binance
2017-09-14,3189.02,,5914261.40460825,binance
2017-09-15,3700.0,,6588767.18669446,binance
2017-09-16,3714.95,,4804878.24721283,binance
2017-09-17,3699.99,,2466490.27859466,binance
2017-09-18,4035.01,,4069033.05715863,binance
2017-09-19,3910.04,,3558315.19743872,binance
2017-09-20,3900.0,,2839584.45308804,binance
2017-09-21,3609.99,,3757043.07821264,binance
2017-09-22,3595.87,,3031771.43292849,binance
2017-09-23,3780.0,,2799706.99951511,binance
2017-09-24,3660.02,,2445788.43620041,binance
2017-09-25,3920.75,,2784170.85318322,binance
2017-09-26,3882.35,,2061195.57868009,binance
2017-09-27,4193.0,,2554629.81447101,binance
2017-09-28,4174.5,,3553178.87037354,binance
2017-09-29,4174.69,,6571746.35900076,binance
2017-09-30,4378.51,,3088354.40084536,binance
2017-10-01,4378.48,,3137143.89184457,binance
2017-10-02,4380.0,,2905282.77570845,binance
2017-10-03,4310.0,,4627422.74283879,binance
2017-10-04,4208.59,,3676415.10054891,binance
2017-10-05,4292.43,,3295532.82397779,binance
2017-10-06,4369.0,,2212035.12414239,binance
2017-10-07,4423.0,,1302533.21459281,binance
2017-10-08,4640.0,,2347356.46944654,binance
2017-10-09,4786.95,,3040508.90436387,binance
2017-10-10,4783.06,,5044283.86347582,binance
2017-10-11,4821.43,,3609240.90903919,binance
2017-10-12,5430.0,,6659759.29119366,binance
2017-10-13,5649.98,,10597340.30104987,binance
2017-10-14,5869.99,,5533972.4859947,binance
2017-10-15,5709.99,,7553650.20132813,binance
2017-10-16,5760.02,,8701914.79553535,binance
2017-10-17,5595.0,,8041662.31881055,binance
2017-10-18,5512.06,,12456909.97604373,binance
2017-10-19,5683.9,,10609368.77338359,binance
2017-10-20,6010.01,,11486552.1888066,binance
2017-10-21,6024.97,,10114821.44026351,binance
2017-10-22,5950.02,,8035415.37335629,binance
2017-10-23,5915.93,,10607190.98072695,binance
2017-10-24,5477.03,,14564495.85056032,binance
2017-10-25,5689.99,,12544847.89154201,binance
