date,index_level,divisor,notes
2023-09-15,1000.0,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2023-09-16,998.4404359263434,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2023-09-17,997.3618940248027,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2023-09-18,1005.5730928222473,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2023-09-19,1023.2468996617812,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2023-09-20,1019.7331830139045,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2023-09-21,998.4066140548665,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2023-09-22,999.0154077414506,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2023-09-23,998.9026681698609,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2023-09-24,986.5576850807967,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2023-09-25,987.966929725667,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2023-09-26,985.1521984216461,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2023-09-27,990.6012777151448,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2023-09-28,1015.663284479519,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2023-09-29,1011.6535137166478,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2023-09-30,1013.6377301766253,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2023-10-01,1051.5257422021796,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2023-10-02,1033.4798947764,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2023-10-03,1030.7478391582113,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2023-10-04,1044.7200300638856,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2023-10-05,1030.2066892145808,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2023-10-06,1050.2743329575349,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2023-10-07,1051.2363773017664,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2023-10-08,1049.78203682826,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2023-10-09,1036.6816986095453,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2023-10-10,1029.5866215708381,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2023-10-11,1009.7031191281474,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2023-10-12,1005.6708004509583,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2023-10-13,1009.6918451709885,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
2023-10-14,1009.2934986847051,26.61,daily close; provider=coingecko/yahoo/ccxt; base normalized
